"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5410","xlsParserTest()","","Sun Jan 19 11:29:17 GMT 2025","passed","Sun Jan 19 11:29:22 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","xlsParserTest"
"","90181","Checking soft assertions page contains JUnit5 info for selenide repository","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","checkSoftAssertionsPageForSelenideRepositoryTest"
"","58155","Checking Enterprise in Solution menu","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:30:14 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","checkEnterpriseInSolutionTest"
"","90016","successfulLoginWithSubmitButtonTest()","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithSubmitButtonTest"
"","8","successfulLoginWithEnterTest(Browser) [5] OPERA","","Sun Jan 19 11:31:19 GMT 2025","broken","Sun Jan 19 11:31:19 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithEnterTest"
"","9","zipParserTxtTest()","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:29:16 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","zipParserTxtTest"
"","3823","jsonParserWithJacksonByPojoTest()","","Sun Jan 19 11:29:17 GMT 2025","passed","Sun Jan 19 11:29:21 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","jsonParserWithJacksonByPojoTest"
"","18111","successfulSearchWithEnterTest()","","Sun Jan 19 11:29:16 GMT 2025","failed","Sun Jan 19 11:29:34 GMT 2025","","qa.google.GoogleSearchTests","qa.google.GoogleSearchTests","successfulSearchWithEnterTest"
"","208","jsonParserWithGSONByPojoTest()","","Sun Jan 19 11:29:17 GMT 2025","passed","Sun Jan 19 11:29:17 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","jsonParserWithGSONByPojoTest"
"","81507","successfulSearchWithSubmitButtonTest()","","Sun Jan 19 11:29:16 GMT 2025","failed","Sun Jan 19 11:30:38 GMT 2025","","qa.google.GoogleSearchTests","qa.google.GoogleSearchTests","successfulSearchWithSubmitButtonTest"
"","6117","zipParserXlsxTest()","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:29:22 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","zipParserXlsxTest"
"","453","jsonParserWithGSONTest()","","Sun Jan 19 11:29:15 GMT 2025","passed","Sun Jan 19 11:29:16 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","jsonParserWithGSONTest"
"","90126","successfulLoginWithEnterTest(Browser) [1] CHROME","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithEnterTest"
"","90013","dragAndDropByActionsTest()","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.selenide.HerokuAppTests","qa.selenide.HerokuAppTests","dragAndDropByActionsTest"
"","17112","Checking issue in github repository with step annotation and dynamic labels","","Sun Jan 19 11:29:15 GMT 2025","passed","Sun Jan 19 11:29:33 GMT 2025","","qa.github.GitHubAllureTests","qa.github.GitHubAllureTests","shouldHaveIssueWebStepsTest"
"","4898","zipParserPdfTest()","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:29:21 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","zipParserPdfTest"
"","79314","Checking issue in github repository with step methods and static labels","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:30:36 GMT 2025","","qa.github.GitHubAllureTests","qa.github.GitHubAllureTests","shouldHaveIssueTest"
"","90132","Checking finding selenide repository at the search top","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","shouldFindSelenideRepositoryAtTheTopTest"
"","90024","unsuccessfulLoginTest()","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","unsuccessfulLoginTest"
"","32117","successfulLoginWithEnterTest(Browser) [2] FIREFOX","","Sun Jan 19 11:30:47 GMT 2025","broken","Sun Jan 19 11:31:19 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithEnterTest"
"","16469","testAutomationPracticeFormTest()","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:29:32 GMT 2025","","qa.demoqa.AutomationPracticeFormTests","qa.demoqa.AutomationPracticeFormTests","testAutomationPracticeFormTest"
"","21","successfulLoginWithEnterTest(Browser) [3] EDGE","","Sun Jan 19 11:31:19 GMT 2025","broken","Sun Jan 19 11:31:19 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithEnterTest"
"","20","successfulLoginWithEnterTest(Browser) [4] SAFARI","","Sun Jan 19 11:31:19 GMT 2025","broken","Sun Jan 19 11:31:19 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithEnterTest"
"","11076","selenideDownloadTest()","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:29:27 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","selenideDownloadTest"
"","114","zipParserCsvTest()","","Sun Jan 19 11:29:17 GMT 2025","passed","Sun Jan 19 11:29:17 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","zipParserCsvTest"
"","8638","Checking top contributor in selenide repository","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:29:25 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","solntsevShouldBeTheTopContributorTest"
"","139","csvParserTest()","","Sun Jan 19 11:29:16 GMT 2025","passed","Sun Jan 19 11:29:16 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","csvParserTest"
"","90093","pdfParserTest()","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","pdfParserTest"
"","90057","testAutomationPracticeFormTest()","","Sun Jan 19 11:29:17 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.demoqa.AutomationPracticeFormPageObjectTests","qa.demoqa.AutomationPracticeFormPageObjectTests","testAutomationPracticeFormTest"
"","79490","dragAndDropByCommandTest()","","Sun Jan 19 11:29:15 GMT 2025","passed","Sun Jan 19 11:30:35 GMT 2025","","qa.selenide.HerokuAppTests","qa.selenide.HerokuAppTests","dragAndDropByCommandTest"
"","90921","testAutomationPracticeFormWithJavaFakerTest()","","Sun Jan 19 11:29:16 GMT 2025","broken","Sun Jan 19 11:30:47 GMT 2025","","qa.demoqa.AutomationPracticeFormPageObjectTests","qa.demoqa.AutomationPracticeFormPageObjectTests","testAutomationPracticeFormWithJavaFakerTest"
"","88410","selenideUploadTest()","","Sun Jan 19 11:29:16 GMT 2025","failed","Sun Jan 19 11:30:45 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","selenideUploadTest"
